"","ST","DATE","UR","State","Crisis","Months"
"1804","HI",2008-09-01,4.5,"Hawaii","Subprime mortgage",8
"1805","HI",2008-01-01,3.1,"Hawaii","Subprime mortgage",0
"1806","HI",2009-03-01,6.5,"Hawaii","Subprime mortgage",14
"1807","HI",2009-04-01,6.6,"Hawaii","Subprime mortgage",15
"1808","HI",2009-05-01,6.7,"Hawaii","Subprime mortgage",16
"1809","HI",2009-06-01,6.8,"Hawaii","Subprime mortgage",17
"1810","HI",2009-07-01,6.8,"Hawaii","Subprime mortgage",18
"1811","HI",2009-08-01,6.8,"Hawaii","Subprime mortgage",19
"1812","HI",2009-09-01,6.9,"Hawaii","Subprime mortgage",20
"1813","HI",2009-10-01,6.9,"Hawaii","Subprime mortgage",21
"1814","HI",2009-11-01,6.9,"Hawaii","Subprime mortgage",22
"1815","HI",2009-12-01,6.9,"Hawaii","Subprime mortgage",23
"1816","HI",2010-01-01,6.9,"Hawaii","Subprime mortgage",24
"1817","HI",2010-02-01,6.9,"Hawaii","Subprime mortgage",25
"1818","HI",2010-03-01,6.9,"Hawaii","Subprime mortgage",26
"1819","HI",2010-04-01,6.8,"Hawaii","Subprime mortgage",27
"1820","HI",2010-05-01,6.8,"Hawaii","Subprime mortgage",28
"1821","HI",2010-06-01,6.8,"Hawaii","Subprime mortgage",29
"1822","HI",2010-07-01,6.8,"Hawaii","Subprime mortgage",30
"1823","HI",2010-08-01,6.8,"Hawaii","Subprime mortgage",31
"1824","HI",2010-09-01,6.8,"Hawaii","Subprime mortgage",32
"1825","HI",2010-10-01,6.8,"Hawaii","Subprime mortgage",33
"1826","HI",2010-11-01,6.8,"Hawaii","Subprime mortgage",34
"1827","HI",2010-12-01,6.8,"Hawaii","Subprime mortgage",35
"1844","HI",2009-01-01,5.9,"Hawaii","Subprime mortgage",12
"1845","HI",2009-02-01,6.2,"Hawaii","Subprime mortgage",13
"2037","IA",2008-01-01,3.7,"Iowa","Subprime mortgage",0
"2038","IA",2008-02-01,3.7,"Iowa","Subprime mortgage",1
"2039","IA",2008-03-01,3.7,"Iowa","Subprime mortgage",2
"2040","IA",2008-04-01,3.8,"Iowa","Subprime mortgage",3
"2041","IA",2008-05-01,3.9,"Iowa","Subprime mortgage",4
"2042","IA",2008-06-01,4,"Iowa","Subprime mortgage",5
"2043","IA",2008-07-01,4.1,"Iowa","Subprime mortgage",6
"2086","IA",2008-09-01,4.4,"Iowa","Subprime mortgage",8
"2087","IA",2008-10-01,4.6,"Iowa","Subprime mortgage",9
"2088","IA",2008-11-01,4.9,"Iowa","Subprime mortgage",10
"2089","IA",2008-12-01,5.2,"Iowa","Subprime mortgage",11
"2090","IA",2009-01-01,5.6,"Iowa","Subprime mortgage",12
"2091","IA",2009-02-01,6,"Iowa","Subprime mortgage",13
"2092","IA",2009-03-01,6.3,"Iowa","Subprime mortgage",14
"2093","IA",2009-04-01,6.5,"Iowa","Subprime mortgage",15
"2094","IA",2009-05-01,6.6,"Iowa","Subprime mortgage",16
"2095","IA",2009-06-01,6.6,"Iowa","Subprime mortgage",17
"2096","IA",2009-07-01,6.6,"Iowa","Subprime mortgage",18
"2097","IA",2009-08-01,6.6,"Iowa","Subprime mortgage",19
"2098","IA",2009-09-01,6.5,"Iowa","Subprime mortgage",20
"2099","IA",2009-10-01,6.5,"Iowa","Subprime mortgage",21
"2100","IA",2009-11-01,6.5,"Iowa","Subprime mortgage",22
"2101","IA",2009-12-01,6.5,"Iowa","Subprime mortgage",23
"2102","IA",2010-01-01,6.5,"Iowa","Subprime mortgage",24
"2103","IA",2010-02-01,6.4,"Iowa","Subprime mortgage",25
"2104","IA",2010-03-01,6.3,"Iowa","Subprime mortgage",26
"2105","IA",2010-04-01,6.2,"Iowa","Subprime mortgage",27
"2106","IA",2010-05-01,6.1,"Iowa","Subprime mortgage",28
"2107","IA",2010-06-01,6,"Iowa","Subprime mortgage",29
"2108","IA",2010-07-01,6,"Iowa","Subprime mortgage",30
"2109","IA",2010-08-01,6,"Iowa","Subprime mortgage",31
"2110","IA",2010-09-01,6,"Iowa","Subprime mortgage",32
"2111","IA",2010-10-01,6,"Iowa","Subprime mortgage",33
"2112","IA",2010-11-01,6,"Iowa","Subprime mortgage",34
"2113","IA",2010-12-01,5.9,"Iowa","Subprime mortgage",35
"2119","IA",2008-08-01,4.2,"Iowa","Subprime mortgage",7
"2120","ID",2008-01-01,3.1,"Idaho","Subprime mortgage",0
"2121","ID",2008-02-01,3.1,"Idaho","Subprime mortgage",1
"2122","ID",2008-05-01,4.7,"Idaho","Subprime mortgage",4
"2123","ID",2008-06-01,5.1,"Idaho","Subprime mortgage",5
"2124","ID",2008-03-01,3.2,"Idaho","Subprime mortgage",2
"2125","ID",2008-04-01,4.1,"Idaho","Subprime mortgage",3
"2126","ID",2008-09-01,5.9,"Idaho","Subprime mortgage",8
"2127","ID",2008-10-01,6.3,"Idaho","Subprime mortgage",9
"2128","ID",2008-07-01,5.4,"Idaho","Subprime mortgage",6
"2129","ID",2008-08-01,5.6,"Idaho","Subprime mortgage",7
"2211","ID",2008-11-01,6.7,"Idaho","Subprime mortgage",10
"2212","ID",2008-12-01,7.2,"Idaho","Subprime mortgage",11
"2213","ID",2009-01-01,7.6,"Idaho","Subprime mortgage",12
"2214","ID",2009-02-01,7.9,"Idaho","Subprime mortgage",13
"2215","ID",2009-03-01,8.2,"Idaho","Subprime mortgage",14
"2216","ID",2009-04-01,8.2,"Idaho","Subprime mortgage",15
"2217","ID",2009-05-01,8.9,"Idaho","Subprime mortgage",16
"2218","ID",2009-06-01,9.1,"Idaho","Subprime mortgage",17
"2219","ID",2009-07-01,9.1,"Idaho","Subprime mortgage",18
"2220","ID",2009-08-01,9.1,"Idaho","Subprime mortgage",19
"2221","ID",2009-09-01,9.1,"Idaho","Subprime mortgage",20
"2222","ID",2009-10-01,9.1,"Idaho","Subprime mortgage",21
"2223","ID",2009-11-01,9.1,"Idaho","Subprime mortgage",22
"2224","ID",2009-12-01,9.1,"Idaho","Subprime mortgage",23
"2225","ID",2010-01-01,9.1,"Idaho","Subprime mortgage",24
"2226","ID",2010-02-01,9.1,"Idaho","Subprime mortgage",25
"2227","ID",2010-03-01,9,"Idaho","Subprime mortgage",26
"2228","ID",2010-04-01,8.9,"Idaho","Subprime mortgage",27
"2229","ID",2010-05-01,8.8,"Idaho","Subprime mortgage",28
"2230","ID",2010-06-01,8.7,"Idaho","Subprime mortgage",29
"2231","ID",2010-07-01,8.6,"Idaho","Subprime mortgage",30
"2232","ID",2010-08-01,8.6,"Idaho","Subprime mortgage",31
"2233","ID",2010-09-01,8.6,"Idaho","Subprime mortgage",32
"2234","ID",2010-10-01,8.6,"Idaho","Subprime mortgage",33
"2235","ID",2010-11-01,8.6,"Idaho","Subprime mortgage",34
"2236","ID",2010-12-01,8.5,"Idaho","Subprime mortgage",35
"2283","IL",2008-11-01,7.4,"Illinois","Subprime mortgage",10
"2292","IL",2008-12-01,7.9,"Illinois","Subprime mortgage",11
"2293","IL",2009-01-01,8.4,"Illinois","Subprime mortgage",12
"2294","IL",2009-02-01,8.9,"Illinois","Subprime mortgage",13
"2295","IL",2009-03-01,9.4,"Illinois","Subprime mortgage",14
"2296","IL",2009-04-01,9.8,"Illinois","Subprime mortgage",15
"2297","IL",2009-05-01,10,"Illinois","Subprime mortgage",16
"2298","IL",2009-06-01,10.3,"Illinois","Subprime mortgage",17
"2299","IL",2009-07-01,10.4,"Illinois","Subprime mortgage",18
"2300","IL",2009-08-01,10.6,"Illinois","Subprime mortgage",19
"2301","IL",2009-09-01,10.8,"Illinois","Subprime mortgage",20
"2302","IL",2009-10-01,11,"Illinois","Subprime mortgage",21
"2303","IL",2009-11-01,11.2,"Illinois","Subprime mortgage",22
"2304","IL",2009-12-01,11.4,"Illinois","Subprime mortgage",23
"2305","IL",2010-01-01,11.4,"Illinois","Subprime mortgage",24
"2306","IL",2010-02-01,11.3,"Illinois","Subprime mortgage",25
"2307","IL",2010-03-01,11.2,"Illinois","Subprime mortgage",26
"2308","IL",2010-04-01,10.9,"Illinois","Subprime mortgage",27
"2309","IL",2010-05-01,10.7,"Illinois","Subprime mortgage",28
"2310","IL",2010-06-01,10.4,"Illinois","Subprime mortgage",29
"2311","IL",2010-07-01,10.2,"Illinois","Subprime mortgage",30
"2312","IL",2010-08-01,10.1,"Illinois","Subprime mortgage",31
"2313","IL",2010-09-01,10,"Illinois","Subprime mortgage",32
"2314","IL",2010-10-01,9.9,"Illinois","Subprime mortgage",33
"2315","IL",2010-11-01,9.8,"Illinois","Subprime mortgage",34
"2316","IL",2010-12-01,9.7,"Illinois","Subprime mortgage",35
"2405","IL",2008-01-01,5.6,"Illinois","Subprime mortgage",0
"2406","IL",2008-02-01,5.7,"Illinois","Subprime mortgage",1
"2407","IL",2008-03-01,5.8,"Illinois","Subprime mortgage",2
"2408","IL",2008-04-01,5.9,"Illinois","Subprime mortgage",3
"2409","IL",2008-05-01,6.1,"Illinois","Subprime mortgage",4
"2410","IL",2008-06-01,6.4,"Illinois","Subprime mortgage",5
"2411","IL",2008-07-01,6.6,"Illinois","Subprime mortgage",6
"2412","IL",2008-08-01,6.7,"Illinois","Subprime mortgage",7
"2444","IL",2008-09-01,6.9,"Illinois","Subprime mortgage",8
"2445","IL",2008-10-01,7.1,"Illinois","Subprime mortgage",9
"2446","IN",2008-01-01,4.8,"Indiana","Subprime mortgage",0
"2447","IN",2008-04-01,5.1,"Indiana","Subprime mortgage",3
"2448","IN",2008-05-01,5.3,"Indiana","Subprime mortgage",4
"2449","IN",2008-02-01,4.8,"Indiana","Subprime mortgage",1
"2450","IN",2008-03-01,4.9,"Indiana","Subprime mortgage",2
"2451","IN",2008-08-01,6,"Indiana","Subprime mortgage",7
"2452","IN",2008-09-01,6.4,"Indiana","Subprime mortgage",8
"2453","IN",2008-06-01,5.5,"Indiana","Subprime mortgage",5
"2454","IN",2008-07-01,5.8,"Indiana","Subprime mortgage",6
"2455","IN",2008-12-01,8.3,"Indiana","Subprime mortgage",11
"2456","IN",2009-01-01,9,"Indiana","Subprime mortgage",12
"2457","IN",2009-02-01,9.8,"Indiana","Subprime mortgage",13
"2458","IN",2009-03-01,10.3,"Indiana","Subprime mortgage",14
"2459","IN",2009-04-01,10.7,"Indiana","Subprime mortgage",15
"2460","IN",2009-05-01,10.8,"Indiana","Subprime mortgage",16
"2461","IN",2009-06-01,10.8,"Indiana","Subprime mortgage",17
"2462","IN",2009-07-01,10.7,"Indiana","Subprime mortgage",18
"2463","IN",2009-08-01,10.7,"Indiana","Subprime mortgage",19
"2464","IN",2009-09-01,10.6,"Indiana","Subprime mortgage",20
"2465","IN",2009-10-01,10.6,"Indiana","Subprime mortgage",21
"2466","IN",2009-11-01,10.6,"Indiana","Subprime mortgage",22
"2467","IN",2009-12-01,10.6,"Indiana","Subprime mortgage",23
"2468","IN",2010-01-01,10.7,"Indiana","Subprime mortgage",24
"2469","IN",2010-02-01,10.7,"Indiana","Subprime mortgage",25
"2470","IN",2010-03-01,10.6,"Indiana","Subprime mortgage",26
"2471","IN",2010-04-01,10.4,"Indiana","Subprime mortgage",27
"2472","IN",2010-05-01,10.3,"Indiana","Subprime mortgage",28
"2473","IN",2010-06-01,10.1,"Indiana","Subprime mortgage",29
"2474","IN",2010-07-01,10,"Indiana","Subprime mortgage",30
"2475","IN",2010-08-01,9.9,"Indiana","Subprime mortgage",31
"2476","IN",2010-09-01,9.8,"Indiana","Subprime mortgage",32
"2477","IN",2010-10-01,9.7,"Indiana","Subprime mortgage",33
"2478","IN",2010-11-01,9.5,"Indiana","Subprime mortgage",34
"2479","IN",2010-12-01,9.3,"Indiana","Subprime mortgage",35
"2493","IN",2008-10-01,6.9,"Indiana","Subprime mortgage",9
"2494","IN",2008-11-01,7.5,"Indiana","Subprime mortgage",10
"2615","KS",2008-09-01,4.8,"Kansas","Subprime mortgage",8
"2616","KS",2008-10-01,5,"Kansas","Subprime mortgage",9
"2617","KS",2008-11-01,5.2,"Kansas","Subprime mortgage",10
"2618","KS",2008-12-01,5.5,"Kansas","Subprime mortgage",11
"2619","KS",2009-01-01,5.8,"Kansas","Subprime mortgage",12
"2620","KS",2009-02-01,6.1,"Kansas","Subprime mortgage",13
"2621","KS",2009-03-01,6.5,"Kansas","Subprime mortgage",14
"2622","KS",2009-04-01,6.8,"Kansas","Subprime mortgage",15
"2623","KS",2009-05-01,7,"Kansas","Subprime mortgage",16
"2624","KS",2009-06-01,7.2,"Kansas","Subprime mortgage",17
"2625","KS",2009-07-01,7.2,"Kansas","Subprime mortgage",18
"2626","KS",2009-08-01,7.3,"Kansas","Subprime mortgage",19
"2627","KS",2009-09-01,7.2,"Kansas","Subprime mortgage",20
"2628","KS",2009-10-01,7.2,"Kansas","Subprime mortgage",21
"2629","KS",2009-11-01,7.2,"Kansas","Subprime mortgage",22
"2630","KS",2009-12-01,7.2,"Kansas","Subprime mortgage",23
"2631","KS",2010-01-01,7.2,"Kansas","Subprime mortgage",24
"2632","KS",2010-02-01,7.2,"Kansas","Subprime mortgage",25
"2633","KS",2010-03-01,7.1,"Kansas","Subprime mortgage",26
"2634","KS",2010-04-01,7,"Kansas","Subprime mortgage",27
"2635","KS",2010-05-01,6.9,"Kansas","Subprime mortgage",28
"2636","KS",2010-06-01,6.8,"Kansas","Subprime mortgage",29
"2637","KS",2010-07-01,6.8,"Kansas","Subprime mortgage",30
"2638","KS",2010-08-01,6.8,"Kansas","Subprime mortgage",31
"2639","KS",2010-09-01,6.8,"Kansas","Subprime mortgage",32
"2640","KS",2010-10-01,6.9,"Kansas","Subprime mortgage",33
"2641","KS",2010-11-01,6.9,"Kansas","Subprime mortgage",34
"2642","KS",2010-12-01,6.8,"Kansas","Subprime mortgage",35
"2688","KS",2008-01-01,4.3,"Kansas","Subprime mortgage",0
"2689","KS",2008-02-01,4.2,"Kansas","Subprime mortgage",1
"2690","KS",2008-03-01,4.2,"Kansas","Subprime mortgage",2
"2691","KS",2008-04-01,4.2,"Kansas","Subprime mortgage",3
"2692","KS",2008-05-01,4.3,"Kansas","Subprime mortgage",4
"2693","KS",2008-06-01,4.4,"Kansas","Subprime mortgage",5
"2694","KS",2008-07-01,4.5,"Kansas","Subprime mortgage",6
"2695","KS",2008-08-01,4.7,"Kansas","Subprime mortgage",7
"2852","KY",2008-01-01,5.3,"Kentucky","Subprime mortgage",0
"2853","KY",2008-02-01,5.4,"Kentucky","Subprime mortgage",1
"2854","KY",2008-03-01,5.5,"Kentucky","Subprime mortgage",2
"2855","KY",2008-04-01,5.6,"Kentucky","Subprime mortgage",3
"2856","KY",2008-05-01,5.9,"Kentucky","Subprime mortgage",4
"2857","KY",2008-06-01,6.1,"Kentucky","Subprime mortgage",5
"2858","KY",2008-07-01,6.4,"Kentucky","Subprime mortgage",6
"2859","KY",2008-08-01,6.7,"Kentucky","Subprime mortgage",7
"2860","KY",2008-09-01,7.1,"Kentucky","Subprime mortgage",8
"2861","KY",2008-10-01,7.5,"Kentucky","Subprime mortgage",9
"2862","KY",2008-11-01,8.1,"Kentucky","Subprime mortgage",10
"2863","KY",2008-12-01,8.7,"Kentucky","Subprime mortgage",11
"2864","KY",2009-01-01,9.4,"Kentucky","Subprime mortgage",12
"2865","KY",2009-02-01,10,"Kentucky","Subprime mortgage",13
"2866","KY",2009-03-01,10.6,"Kentucky","Subprime mortgage",14
"2867","KY",2009-04-01,10.9,"Kentucky","Subprime mortgage",15
"2868","KY",2009-05-01,11.1,"Kentucky","Subprime mortgage",16
"2869","KY",2009-06-01,11.2,"Kentucky","Subprime mortgage",17
"2870","KY",2009-07-01,11.2,"Kentucky","Subprime mortgage",18
"2871","KY",2009-08-01,11.1,"Kentucky","Subprime mortgage",19
"2872","KY",2009-09-01,11,"Kentucky","Subprime mortgage",20
"2873","KY",2009-10-01,10.9,"Kentucky","Subprime mortgage",21
"2874","KY",2009-11-01,10.9,"Kentucky","Subprime mortgage",22
"2875","KY",2009-12-01,10.9,"Kentucky","Subprime mortgage",23
"2876","KY",2010-01-01,10.9,"Kentucky","Subprime mortgage",24
"2877","KY",2010-02-01,10.8,"Kentucky","Subprime mortgage",25
"2878","KY",2010-03-01,10.7,"Kentucky","Subprime mortgage",26
"2879","KY",2010-04-01,10.5,"Kentucky","Subprime mortgage",27
"2880","KY",2010-05-01,10.3,"Kentucky","Subprime mortgage",28
"2881","KY",2010-06-01,10.1,"Kentucky","Subprime mortgage",29
"2882","KY",2010-07-01,10,"Kentucky","Subprime mortgage",30
"2883","KY",2010-08-01,10,"Kentucky","Subprime mortgage",31
"2884","KY",2010-09-01,10,"Kentucky","Subprime mortgage",32
"2885","KY",2010-10-01,10,"Kentucky","Subprime mortgage",33
"2886","KY",2010-11-01,10,"Kentucky","Subprime mortgage",34
"2887","KY",2010-12-01,9.9,"Kentucky","Subprime mortgage",35
"2935","LA",2008-03-01,4.1,"Louisiana","Subprime mortgage",2
"2936","LA",2008-04-01,4.2,"Louisiana","Subprime mortgage",3
"2937","LA",2008-01-01,4.1,"Louisiana","Subprime mortgage",0
"2938","LA",2008-02-01,4.1,"Louisiana","Subprime mortgage",1
"3018","LA",2008-05-01,4.3,"Louisiana","Subprime mortgage",4
"3019","LA",2008-06-01,4.4,"Louisiana","Subprime mortgage",5
"3020","LA",2008-07-01,4.6,"Louisiana","Subprime mortgage",6
"3021","LA",2008-08-01,4.8,"Louisiana","Subprime mortgage",7
"3022","LA",2008-09-01,5,"Louisiana","Subprime mortgage",8
"3023","LA",2008-10-01,5.2,"Louisiana","Subprime mortgage",9
"3024","LA",2008-11-01,5.5,"Louisiana","Subprime mortgage",10
"3025","LA",2008-12-01,5.7,"Louisiana","Subprime mortgage",11
"3026","LA",2009-01-01,6,"Louisiana","Subprime mortgage",12
"3027","LA",2009-02-01,6.2,"Louisiana","Subprime mortgage",13
"3028","LA",2009-03-01,6.5,"Louisiana","Subprime mortgage",14
"3029","LA",2009-04-01,6.8,"Louisiana","Subprime mortgage",15
"3030","LA",2009-05-01,6.9,"Louisiana","Subprime mortgage",16
"3031","LA",2009-06-01,7,"Louisiana","Subprime mortgage",17
"3032","LA",2009-07-01,7,"Louisiana","Subprime mortgage",18
"3033","LA",2009-08-01,7,"Louisiana","Subprime mortgage",19
"3034","LA",2009-09-01,7,"Louisiana","Subprime mortgage",20
"3035","LA",2009-10-01,7,"Louisiana","Subprime mortgage",21
"3036","LA",2009-11-01,7,"Louisiana","Subprime mortgage",22
"3037","LA",2009-12-01,7.1,"Louisiana","Subprime mortgage",23
"3038","LA",2010-01-01,7.1,"Louisiana","Subprime mortgage",24
"3039","LA",2010-02-01,7.2,"Louisiana","Subprime mortgage",25
"3040","LA",2010-03-01,7.3,"Louisiana","Subprime mortgage",26
"3041","LA",2010-04-01,7.3,"Louisiana","Subprime mortgage",27
"3042","LA",2010-05-01,7.4,"Louisiana","Subprime mortgage",28
"3043","LA",2010-06-01,7.4,"Louisiana","Subprime mortgage",29
"3044","LA",2010-07-01,7.6,"Louisiana","Subprime mortgage",30
"3045","LA",2010-08-01,7.7,"Louisiana","Subprime mortgage",31
"3046","LA",2010-09-01,7.8,"Louisiana","Subprime mortgage",32
"3047","LA",2010-10-01,7.8,"Louisiana","Subprime mortgage",33
"3048","LA",2010-11-01,7.8,"Louisiana","Subprime mortgage",34
"3049","LA",2010-12-01,7.8,"Louisiana","Subprime mortgage",35
"3098","MA",2008-02-01,4.6,"Massachusetts","Subprime mortgage",1
"3099","MA",2008-03-01,4.6,"Massachusetts","Subprime mortgage",2
"3100","MA",2008-01-01,4.5,"Massachusetts","Subprime mortgage",0
"3101","MA",2008-06-01,5.1,"Massachusetts","Subprime mortgage",5
"3102","MA",2008-07-01,5.3,"Massachusetts","Subprime mortgage",6
"3103","MA",2008-04-01,4.8,"Massachusetts","Subprime mortgage",3
"3104","MA",2008-05-01,4.9,"Massachusetts","Subprime mortgage",4
"3105","MA",2008-10-01,6,"Massachusetts","Subprime mortgage",9
"3106","MA",2008-11-01,6.3,"Massachusetts","Subprime mortgage",10
"3107","MA",2008-12-01,6.7,"Massachusetts","Subprime mortgage",11
"3108","MA",2009-01-01,7,"Massachusetts","Subprime mortgage",12
"3109","MA",2009-02-01,7.4,"Massachusetts","Subprime mortgage",13
"3110","MA",2009-03-01,7.7,"Massachusetts","Subprime mortgage",14
"3111","MA",2009-04-01,7.9,"Massachusetts","Subprime mortgage",15
"3112","MA",2009-05-01,8.1,"Massachusetts","Subprime mortgage",16
"3113","MA",2009-06-01,8.2,"Massachusetts","Subprime mortgage",17
"3114","MA",2009-07-01,8.3,"Massachusetts","Subprime mortgage",18
"3115","MA",2009-08-01,8.4,"Massachusetts","Subprime mortgage",19
"3116","MA",2008-08-01,5.5,"Massachusetts","Subprime mortgage",7
"3117","MA",2008-09-01,5.7,"Massachusetts","Subprime mortgage",8
"3118","MA",2009-11-01,8.5,"Massachusetts","Subprime mortgage",22
"3119","MA",2009-12-01,8.5,"Massachusetts","Subprime mortgage",23
"3120","MA",2010-01-01,8.5,"Massachusetts","Subprime mortgage",24
"3121","MA",2010-02-01,8.4,"Massachusetts","Subprime mortgage",25
"3122","MA",2010-03-01,8.4,"Massachusetts","Subprime mortgage",26
"3123","MA",2010-04-01,8.3,"Massachusetts","Subprime mortgage",27
"3124","MA",2010-05-01,8.1,"Massachusetts","Subprime mortgage",28
"3125","MA",2010-06-01,8,"Massachusetts","Subprime mortgage",29
"3126","MA",2010-07-01,7.9,"Massachusetts","Subprime mortgage",30
"3127","MA",2010-08-01,7.9,"Massachusetts","Subprime mortgage",31
"3128","MA",2010-09-01,7.9,"Massachusetts","Subprime mortgage",32
"3129","MA",2009-09-01,8.4,"Massachusetts","Subprime mortgage",20
"3130","MA",2009-10-01,8.5,"Massachusetts","Subprime mortgage",21
"3210","MA",2010-10-01,7.8,"Massachusetts","Subprime mortgage",33
"3211","MA",2010-11-01,7.8,"Massachusetts","Subprime mortgage",34
"3212","MA",2010-12-01,7.7,"Massachusetts","Subprime mortgage",35
"3341","MD",2008-01-01,3.6,"Maryland","Subprime mortgage",0
"3342","MD",2008-02-01,3.6,"Maryland","Subprime mortgage",1
"3343","MD",2008-03-01,3.7,"Maryland","Subprime mortgage",2
"3344","MD",2008-04-01,3.8,"Maryland","Subprime mortgage",3
"3345","MD",2008-05-01,4,"Maryland","Subprime mortgage",4
"3346","MD",2008-06-01,4.2,"Maryland","Subprime mortgage",5
"3347","MD",2008-07-01,4.5,"Maryland","Subprime mortgage",6
"3348","MD",2008-08-01,4.7,"Maryland","Subprime mortgage",7
"3349","MD",2008-09-01,5,"Maryland","Subprime mortgage",8
"3350","MD",2008-10-01,5.3,"Maryland","Subprime mortgage",9
"3351","MD",2008-11-01,5.7,"Maryland","Subprime mortgage",10
"3352","MD",2008-12-01,6.2,"Maryland","Subprime mortgage",11
"3353","MD",2009-01-01,6.6,"Maryland","Subprime mortgage",12
"3354","MD",2009-02-01,7,"Maryland","Subprime mortgage",13
"3355","MD",2009-03-01,7.3,"Maryland","Subprime mortgage",14
"3356","MD",2009-04-01,7.5,"Maryland","Subprime mortgage",15
"3357","MD",2009-05-01,7.6,"Maryland","Subprime mortgage",16
"3358","MD",2009-06-01,7.7,"Maryland","Subprime mortgage",17
"3359","MD",2009-07-01,7.7,"Maryland","Subprime mortgage",18
"3360","MD",2009-08-01,7.7,"Maryland","Subprime mortgage",19
"3361","MD",2009-09-01,7.8,"Maryland","Subprime mortgage",20
"3362","MD",2009-10-01,7.8,"Maryland","Subprime mortgage",21
"3363","MD",2009-11-01,7.9,"Maryland","Subprime mortgage",22
"3364","MD",2009-12-01,8,"Maryland","Subprime mortgage",23
"3365","MD",2010-01-01,8.1,"Maryland","Subprime mortgage",24
"3366","MD",2010-02-01,8.1,"Maryland","Subprime mortgage",25
"3367","MD",2010-03-01,8,"Maryland","Subprime mortgage",26
"3368","MD",2010-04-01,7.9,"Maryland","Subprime mortgage",27
"3369","MD",2010-05-01,7.9,"Maryland","Subprime mortgage",28
"3370","MD",2010-06-01,7.8,"Maryland","Subprime mortgage",29
"3371","MD",2010-07-01,7.7,"Maryland","Subprime mortgage",30
"3372","MD",2010-08-01,7.7,"Maryland","Subprime mortgage",31
"3373","MD",2010-09-01,7.7,"Maryland","Subprime mortgage",32
"3374","MD",2010-10-01,7.7,"Maryland","Subprime mortgage",33
"3375","MD",2010-11-01,7.7,"Maryland","Subprime mortgage",34
"3376","MD",2010-12-01,7.6,"Maryland","Subprime mortgage",35
"3505","ME",2008-01-01,4.6,"Maine","Subprime mortgage",0
"3506","ME",2008-02-01,4.6,"Maine","Subprime mortgage",1
"3507","ME",2008-03-01,4.7,"Maine","Subprime mortgage",2
"3508","ME",2008-04-01,4.8,"Maine","Subprime mortgage",3
"3509","ME",2008-05-01,4.9,"Maine","Subprime mortgage",4
"3510","ME",2008-06-01,5.1,"Maine","Subprime mortgage",5
"3511","ME",2008-07-01,5.3,"Maine","Subprime mortgage",6
"3512","ME",2008-08-01,5.5,"Maine","Subprime mortgage",7
"3513","ME",2008-09-01,5.7,"Maine","Subprime mortgage",8
"3514","ME",2008-10-01,6.1,"Maine","Subprime mortgage",9
"3515","ME",2008-11-01,6.5,"Maine","Subprime mortgage",10
"3516","ME",2008-12-01,7,"Maine","Subprime mortgage",11
"3517","ME",2009-01-01,7.5,"Maine","Subprime mortgage",12
"3518","ME",2009-02-01,7.9,"Maine","Subprime mortgage",13
"3519","ME",2009-03-01,8.3,"Maine","Subprime mortgage",14
"3520","ME",2009-04-01,8.5,"Maine","Subprime mortgage",15
"3521","ME",2009-05-01,8.5,"Maine","Subprime mortgage",16
"3522","ME",2009-06-01,8.6,"Maine","Subprime mortgage",17
"3523","ME",2009-07-01,8.5,"Maine","Subprime mortgage",18
"3524","ME",2009-08-01,8.5,"Maine","Subprime mortgage",19
"3525","ME",2009-09-01,8.5,"Maine","Subprime mortgage",20
"3526","ME",2009-10-01,8.6,"Maine","Subprime mortgage",21
"3527","ME",2009-11-01,8.6,"Maine","Subprime mortgage",22
"3528","ME",2009-12-01,8.7,"Maine","Subprime mortgage",23
"3529","ME",2010-01-01,8.7,"Maine","Subprime mortgage",24
"3530","ME",2010-02-01,8.7,"Maine","Subprime mortgage",25
"3531","ME",2010-03-01,8.7,"Maine","Subprime mortgage",26
"3532","ME",2010-04-01,8.6,"Maine","Subprime mortgage",27
"3533","ME",2010-05-01,8.5,"Maine","Subprime mortgage",28
"3534","ME",2010-06-01,8.3,"Maine","Subprime mortgage",29
"3535","ME",2010-07-01,8.3,"Maine","Subprime mortgage",30
"3536","ME",2010-08-01,8.3,"Maine","Subprime mortgage",31
"3537","ME",2010-09-01,8.3,"Maine","Subprime mortgage",32
"3538","ME",2010-10-01,8.3,"Maine","Subprime mortgage",33
"3539","ME",2010-11-01,8.2,"Maine","Subprime mortgage",34
"3540","ME",2010-12-01,8.1,"Maine","Subprime mortgage",35
"3667","MI",2008-01-01,7.2,"Michigan","Subprime mortgage",0
"3668","MI",2008-02-01,7.2,"Michigan","Subprime mortgage",1
"3669","MI",2008-03-01,7.3,"Michigan","Subprime mortgage",2
"3670","MI",2008-04-01,7.4,"Michigan","Subprime mortgage",3
"3671","MI",2008-05-01,7.6,"Michigan","Subprime mortgage",4
"3672","MI",2008-06-01,7.9,"Michigan","Subprime mortgage",5
"3673","MI",2008-07-01,8.1,"Michigan","Subprime mortgage",6
"3674","MI",2008-08-01,8.4,"Michigan","Subprime mortgage",7
"3675","MI",2008-09-01,8.7,"Michigan","Subprime mortgage",8
"3676","MI",2008-10-01,9.1,"Michigan","Subprime mortgage",9
"3677","MI",2008-11-01,9.6,"Michigan","Subprime mortgage",10
